codigo_iata,codigo_oaci,nombre_oficial,pais,anio,pasajeros_totales_anuales,pasajeros_nacionales,pasajeros_internacionales,operaciones_aeronaves_anuales,carga_toneladas_anuales,correo_toneladas_anuales,fuente_dato,fecha_publicacion_fuente,observaciones
OAL,SSKW,Cacoal Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
OPP,SNSM,Salinópolis Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
OPS,SBSI,Presidente João Batista Figueiredo Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PAV,SBUF,Paulo Afonso Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PET,SBPK,João Simões Lopes Neto International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PFB,SBPF,Lauro Kurtz Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PGZ,SBPG,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PHB,SBPB,Parnaíba - Prefeito Doutor João Silva Filho International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PMG,SBPP,Ponta Porã Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PMW,SBPJ,Brigadeiro Lysias Rodrigues Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PNZ,SBPL,Senador Nilo Coelho Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
POA,SBPA,Porto Alegre-Salgado Filho International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PPB,SBDN,Presidente Prudente Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PTO,SBPO,Juvenal Loureiro Cardoso Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PVH,SBPV,Governador Jorge Teixeira de Oliveira International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PYT,SNZR,Pedro Rabelo de Souza Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RAO,SBRP,Leite Lopes Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RBB,SWBR,Borba Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RBR,SBRB,Rio Branco-Plácido de Castro International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
REC,SBRF,Recife/Guararapes - Gilberto Freyre International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RIA,SBSM,Santa Maria Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ROO,SBRD,Maestro Marinho Franco Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
RRJ,SBJR,Jacarepaguá - Roberto Marinho Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SDU,SBRJ,Santos Dumont Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SET,SNHS,Santa Magalhães Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SJK,SBSJ,Professor Urbano Ernesto Stumpf Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SJL,SBUA,São Gabriel da Cachoeira Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SJP,SBSR,Prof. Eribelto Manoel Reino State Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SLZ,SBSL,Marechal Cunha Machado International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SMT,SBSO,Adolino Bedin Regional Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SOD,SDCO,Sorocaba Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SRA,SSZR,Luis Alberto Lehr Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SSA,SBSV,Deputado Luiz Eduardo Magalhães International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
STM,SBSN,Santarém - Maestro Wilson Fonseca International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TBT,SBTT,Tabatinga International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TFF,SBTF,Tefé Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TGQ,SWTS,Tangará da Serra Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
THE,SBTE,Senador Petrônio Portela Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TJL,SBTG,Plínio Alarcom Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TMT,SBTB,Trombetas Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TOW,SBTD,Toledo - Luiz Dalcanale Filho Municipal Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
TUR,SBTU,Tucuruí Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
UBA,SBUR,Mário de Almeida Franco Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
UDI,SBUL,Ten. Cel. Aviador César Bombonato Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
UMU,SSUM,Orlando de Carvalho Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
UNA,SBTC,Una-Comandatuba Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
URG,SBUG,Rubem Berta Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
UVI,SSUV,José Cleto Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
VAL,SNVB,Valença Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
VCP,SBKP,Viracopos International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
VDC,SBVC,Glauber de Andrade Rocha Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
VIX,SBVT,Eurico de Aguiar Salles International Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
XAP,SBCH,Serafin Enoss Bertaso Airport,Brasil,,,,,,,,ANAC Brasil - Dados de Movimentação Aeroportuária: https://www.gov.br/anac/pt-br/assuntos/dados-e-estatisticas/mercado-de-transporte-aereo,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ANF,SCFA,Andrés Sabella Gálvez International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ARI,SCAR,Chacalluta International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
BBA,SCBA,Balmaceda Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CCP,SCIE,Carriel Sur International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CJC,SCCF,El Loa Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
CPO,SCAT,Desierto de Atacama Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ESR,SCES,Ricardo García Posada Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
IPC,SCIP,Mataveri International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
IQQ,SCDA,Diego Aracena International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
LSC,SCSE,La Florida Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
MHC,SCPQ,Mocopulli Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PMC,SCTE,El Tepual International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PNT,SCNT,Lieutenant Julio Gallardo Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
PUQ,SCCI,President Carlos Ibáñez International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
SCL,SCEL,Comodoro Arturo Merino Benítez International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ZAL,SCVD,Pichoy Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
ZCO,SCQP,La Araucanía International Airport,Chile,,,,,,,,Junta de Aeronáutica Civil de Chile - estadísticas: https://www.jac.gob.cl/estadisticas/,,"Sin dato incorporado: no se obtuvo en esta compilación una tabla anual oficial, abierta y homogénea por aeropuerto con todas las variables requeridas. Se deja null/vacío para evitar estimaciones o la mezcla de totales nacionales."
