iata;oaci;continent;latitude;longitude;municipality;country
AVI;MUCA;NA;220.271;'-78.789597;Ciro Redondo;CU
AVK;ZMAH;AS;46.250.301.361.083.900;102.802.001.953.125;Arvaikheer;MN
AVL;KAVL;NA;35.436.199;'-82.541801;Asheville;US
AVN;LFMV;EU;43.907.299;490.183;Avignon;FR
AVO;KAVO;NA;2.759.119.987;'-81.52780151;Avon Park;US
AVP;KAVP;NA;41.338.500.976.599.900;'-75.72339630130001;Wilkes-Barre/Scranton;US
AVV;YMAV;OC;'-38.039398;144.468.994;Lara;AU
AVW;KAVQ;NA;32.409.065;'-111.216199;Marana;US
AVX;KAVX;NA;334.049;'-118.416;Avalon;US
AWA;HALA;AF;7.099.869;38.396.187;Hawassa;ET
AWB;AYAW;OC;'-8.013414;142.752.099;Awaba;PG
AWD;NVVB;OC;'-19.2346;1.696.009;Aniwa;VU
AWK;PWAK;OC;19.282.437;166.636.637;Wake Island;UM
AWM;KAWM;NA;351.351.013.184;'-90.2343978882;West Memphis;US
AWN;;OC;'-26.488959;139.259.906;;AU
AWP;;OC;'-20.5;137.75;;AU
AWZ;OIAW;AS;313.374;48.762.001;Ahvaz;IR
AXA;TQPF;NA;18.204.773;'-63.05383;The Valley;AI
AXB;;NA;44.312.002;'-75.90034;Alexandria Bay;US
AXC;YAMC;OC;'-22.95788;145.249.504;;AU
AXD;LGAL;EU;408.559;25.956.301;Alexandroupolis;GR
AXE;;SA;'-26.875067;'-52.372862;Xanxerê;BR
AXG;KAXA;NA;43.078.104;'-94.271836;Algona;US
AXJ;RJDA;AS;32.482.498;130.158.997;Amakusa;JP
AXK;OYAT;AS;145.513;46.826.199;Ataq;YE
AXL;YALX;OC;'-19.060199737548828;1.367.100.067.138.670;;AU
AXM;SKAR;SA;445.278;'-75.7664;Armenia;CO
AXN;KAXN;NA;45.866.299;'-95.394699;Alexandria;US
AXP;MYAP;NA;22.441.799;'-73.970901;Spring Point;BS
AXR;NTGU;OC;'-15.248299598693848;'-146.61700439453125;;PF
AXS;KAXS;NA;34.697.952;'-99.3385;Altus;US
AXT;RJSK;AS;39.615.601;140.218.994;Akita;JP
AXU;HAAX;AF;141.468;387.728;Axum;ET
AXV;KAXV;NA;4.049.340.057;'-84.29889679;Wapakoneta;US
AXX;KAXX;NA;36.422.001;'-105.290001;Angel Fire;US
AYA;;SA;8.3;'-75.15;Ayapel;CO
AYC;;NA;8.602.149;'-73.612866;Ayacucho;CO
AYD;;OC;'-19.2908;136.078.995;Alroy Downs;AU
AYG;SKYA;SA;154.417;'-73.9333;San Vicente Del Caguán;CO
AYI;;SA;'-0.383333;'-72.266667;Yari;CO
AYJ;VEAY;AS;26.751.283;82.155.295;Faizabad;IN
AYK;UAUR;AS;50.318.599.700.927.700;6.695.279.693.603.510;Arkalyk;KZ
AYL;;OC;'-18.018079031;135.535.068.512;;AU
AYN;ZHAY;AS;361.339;114.344.002;Anyang;CN
AYO;SGAY;SA;'-27.378379;'-56.856791;Ayolas;PY
AYP;SPHO;SA;'-13.1548;'-74.204399;Ayacucho;PE
AYQ;YAYE;OC;'-25.185913;13.097.703;Yulara;AU
AYR;YAYR;OC;'-19.595832;147.324.495;Ayr;AU
AYS;KAYS;NA;312.490.997.314;'-82.39550018310001;Waycross;US
AYT;LTAI;AS;36.898.701;30.800.501;Antalya;TR
AYW;WASA;AS;'-1.159779;132.464.082;Ayawasi;ID
AYX;SPAY;SA;'-10.7291;'-73.766502;Atalaya;PE
AZA;KIWA;NA;333.078;'-111.654999;Mesa;US
AZD;OIYY;AS;319.048.995.972;542.765.007.019;Yazd;IR
AZG;;NA;19.093.399;'-102.393997;Apatzingán;MX
AZI;OMAD;AS;24.428.301;54.458.099;Abu Dhabi;AE
AZL;SWTU;SA;'-13.465528;'-58.866935;Sapezal;BR
AZN;;AS;40.727.699;72.293.999;Andizhan;UZ
AZO;KAZO;NA;42.234.901.428.222.600;'-85.5521011352539;Kalamazoo;US
AZP;MMJC;NA;19.574.155;'-99.291183;Atizapán de Zaragoza;MX
AZR;DAUA;AF;27.837.601;'-0.186414;Adrar;DZ
AZS;MDCY;NA;19.269.259;'-69.737405;Samana;DO
AZT;;NA;6.767.724;'-73.284444;Zapatoca;CO
AZZ;FNAM;AF;'-7.86222;131.161;Ambriz;AO
BAA;AYBL;OC;'-5.3305602073700005;151.007.995.605;Bialla, Matalilu, Ewase;PG
BAB;KBAB;NA;39.136.101;'-121.436996;Beale Air Force Base;US
BAC;;SA;4.583.333;'-72.966667;Barranca De Upia;CO
BAD;KBAD;NA;32.501.801;'-93.662697;Bossier City;US
BAE;LFMR;EU;44.387.198;6.608.831;Saint-Pons, Alpes-de-Haute-Provence;FR
BAF;KBAF;NA;42.157.799;'-72.715599;Westfield;US
BAG;RPUB;AS;16.375.034;120.619.949;Baguio;PH
BAH;OBBI;AS;26.267.295;5.063.764;Manama;BH
BAI;MRBA;NA;9.163.949;'-83.330171;Punta Arenas;CR
BAL;LTCJ;AS;37.929.000.854.499.900;411.166.000.366;Batman;TR
BAM;KBAM;NA;40.598.999.023.400.000;'-116.874000549;Battle Mountain;US
BAN;FZVR;AF;'-4.315802;20.414.891;Basongo;CD
BAQ;SKBQ;SA;108.896;'-74.7808;Barranquilla;CO
BAS;AGGE;OC;'-6.990745;155.886.656;Ballalae;SB
BAT;;SA;'-20.584631;'-48.594125;Barretos;BR
BAV;ZBOW;AS;40.560.001;109.997.002;Baotou;CN
BAX;UNBB;AS;53.363.800.048.828.100;8.353.849.792.480.460;Barnaul;RU
BAY;LRBM;EU;47.658.444;23.464.445;Tăuții-Măgherăuș;RO
BAZ;SWBC;SA;'-0.981191;'-62.918603;Barcelos;BR
BBA;SCBA;SA;'-45.915968;'-71.689499;Balmaceda;CL
BBB;KBBB;NA;45.331.902;'-95.650597;Benson;US
BBC;KBYY;NA;28.973.301;'-95.863503;Bay City;US
BBD;KBBD;NA;31.178.931;'-99.324732;Brady;US
BBG;NGTU;OC;308.583;172.811.005;Butaritari;KI
BBH;EDBH;EU;54.338.253;12.710.515;Barth;DE
BBI;VEBS;AS;202.444;85.817.802;Bhubaneswar;IN
BBJ;EDRB;EU;49.945.278;6.565;Bitburg;DE
BBK;FBKE;AF;'-17.832899;25.162.399;Kasane;BW
BBL;YLLE;OC;'-27.405633;141.809.458;;AU
BBM;VDBG;AS;130.956;103.223.999;Battambang;KH
BBN;WBGZ;AS;3.734.648;115.478.548;Bario;MY
BBO;HCMI;AF;10.385.035;44.936.723;Berbera;SO
BBP;EGHJ;EU;50.678.101;'-1.10944;Bembridge, Isle of Wight;GB
BBQ;TAPH;NA;17.635.799;'-61.828602;Codrington;AG
BBR;TFFB;NA;16.013.648;'-61.742928;Basse-Terre;GP
BBS;EGLK;EU;51.323.898;'-0.8475;Camberley, Surrey;GB
BBT;FEFT;AF;42.215.800.285.339.300;15.786.399.841.308.500;Berbérati;CF
BBU;LRBS;EU;44.503.201;261.021;Bucharest;RO
BBV;DIGN;AF;464.341.306.686;'-6.923961639400001;Grand-Béréby;CI
BBW;KBBW;NA;414.365.005.493;'-99.6421966553;Broken Bow;US
BBX;KLOM;NA;401.375.007.629;'-75.2650985718;Philadelphia;US
BBY;FEFM;AF;5.847.012;2.064.992;Bambari;CF
BBZ;FLZB;AF;'-13.535996;2.310.559;Zambezi;ZM
BCA;MUBA;NA;20.365.299.224.853.500;'-74.5062026977539;Baracoa;CU
BCB;KBCB;NA;37.207.599.639.899.900;'-80.4077987671;Blacksburg;US
BCC;;NA;635.733.160.384;'-156.149454117;Bear Creek;US
BCD;RPVB;AS;107.764;123.014.999;Bacolod City;PH
BCE;KBCE;NA;37.706.401.825;'-112.144996643;Bryce Canyon;US
BCF;FEGU;AF;6.517.000.198.364.250;18.267.000.198.364.200;Bouca;CF
BCG;;SA;7.640.212;'-58.961786;Kumaka;GY
BCH;WPEC;AS;'-8.486479;126.399.981;Baucau;TL
BCI;YBAR;OC;'-23.566268;145.302.086;Barcaldine;AU
BCK;;OC;'-17.388299942;144.169.006.348;;AU
BCL;MRBC;NA;107.687;'-83.585602;Pococi;CR
BCM;LRBC;EU;465.219;26.910.299;Bacău;RO
BCN;LEBL;EU;412.971;207.846;Barcelona;ES
BCO;HABC;AF;5.783.333;36.55;Baco;ET
BCQ;;AF;27.653;14.272;Brak;LY
BCR;SWNK;SA;'-8.83456;'-67.312401;Boca do Acre;BR
BCS;;NA;29.866.078;'-90.021608;Belle Chasse;US
BCT;KBCT;NA;263.785;'-80.107697;Boca Raton;US
BCV;;NA;17.269.603;'-88.776496;Belmopan;BZ
BCW;;AF;'-21.8533;35.438.301;Benguera Island;MZ
BCX;UWUB;AS;53.938.389;58.340.113;Beloretsk;RU
BDA;TXKF;NA;32.363.998;'-64.678703;Hamilton;BM
BDB;YBUD;OC;'-24.905039;152.322.612;Bundaberg;AU
BDC;SNBC;SA;'-5.5025;'-45.215833;Barra do Corda;BR
BDD;YBAU;OC;'-10.14955;142.173.665;Badu Island;AU
BDE;KBDE;NA;487.284.011.841;'-94.612197876;Baudette;US
BDF;;NA;41.230.899.810.800.000;'-89.61569976810001;Bradford;US
BDG;KBDG;NA;3.758.330.154;'-109.4830017;Blanding;US
BDH;OIBL;AS;26.532.283;5.482.484;Bandar Lengeh;IR
BDI;FSSB;AF;'-3.723683;55.206.106;Bird Island;SC
BDJ;WAOO;AS;'-3.44236;114.763;Landasan Ulin;ID
BDK;DIBU;AF;801.722;'-2.76194;Bondoukou;CI
BDL;KBDL;NA;4.193.851;'-72.688066;Hartford;US
BDM;LTBG;AS;40.318.001;27.977.699;Bandırma;TR
BDN;OPTH;AS;2.484.149.932.861.320;688.384.017.944.336;Badin;PK
BDO;WICC;AS;'-6.90063;107.575.996;Bandung;ID
BDP;VNCG;AS;265.708.007.812;8.807.959.747.310.000;Bhadrapur;NP
BDQ;VABO;AS;22.336.201;73.226.303;Vadodara;IN
BDR;KBDR;NA;41.163.502;'-73.126198;Bridgeport;US
BDS;LIBR;EU;406.576;17.947.001;Brindisi;IT
BDT;FZFD;AF;4.252.745;20.975.271;Gbadolite;CD
BDU;ENDU;EU;69.055.801;185.404;Målselv;NO
BDV;FZRB;AF;'-7.08488;29.737.072;Moba;CD
BDW;YBDF;OC;'-17.286699295;127.462.997.437;;AU
BDX;;NA;45.470.462;'-105.457145;Broadus;US
BDY;;NA;4.308.649.826;'-124.4079971;Bandon;US
BEB;EGPL;EU;5.748.109.817.504.880;'-7.3627800941467285;Balivanich;GB
BEC;KBEC;NA;37.694.499.969.499.900;'-97.21499633790002;Wichita;US
BED;KBED;NA;42.470.001;'-71.289001;Bedford;US
BEE;;OC;'-17.0165;1.226.464;Dampier Peninsula;AU
BEF;MNBL;NA;11.991;'-83.774101;Bluefields;NI
BEG;LYBE;EU;44.818.401;20.309.099;Belgrade;RS
BEH;KBEH;NA;42.128.601.074.200.000;'-86.4284973145;Benton Harbor;US
BEI;HABE;AF;938.639;345.219;Beica;ET
BEJ;WAQT;AS;214.776;117.430.705;Tanjung Redeb - Borneo Island;ID
BEK;VIBY;AS;284.221;79.450.798;Bareilly;IN
BEL;SBBE;SA;'-1.379279;'-48.476207;Belém;BR
BEM;GMMD;AF;32.401.895;'-6.315905;Oulad Yaich;MA
BEN;HLLB;AF;32.096.802;20.269.501;Benina;LY
BEO;YLMQ;OC;'-33.065975;151.646.283;City of Lake Macquarie;AU
BEP;VOBI;AS;15.162.799.835.205.000;7.688.279.724.121.090;Bellary;IN
BEQ;EGXH;EU;52.342.602;0.772939;Bury Saint Edmunds, Suffolk;GB
BES;LFRB;EU;48.447.899;'-4.41854;Brest;FR
BET;PABE;NA;6.077.980.042;'-161.8379974;Bethel;US
BEU;YBIE;OC;'-24.3461;139.460.007;Bedourie;AU
BEV;LLBS;AS;31.287.000.656.128;34.722.999.572.754;Beersheba;IL
BEW;FQBR;AF;'-19.7964;349.076;Beira;MZ
BEX;EGUB;EU;51.614.366;'-1.095991;Wallingford, Oxfordshire;GB
BEY;OLBA;AS;33.820.899.963.378.900;35.488.399.505.615.200;Beirut;LB
BEZ;NGBR;OC;'-1.35472;176.007.004;Beru;KI
BFA;SGBN;SA;'-20.230777;'-58.170455;Bahía Negra;PY
BFC;;OC;'-15.8736000061;145.330.001.831;;AU
BFD;KBFD;NA;418.031.005.859.375;'-78.64009857177734;Bradford;US
BFE;EDLI;EU;51.964.722;8.544.444;Bielefeld;DE
BFF;KBFF;NA;4.187.400.055;'-103.5960007;Scottsbluff;US
BFG;;NA;37.547.827;'-110.712898;Bullfrog;US
BFH;SBBI;SA;'-25.4051;'-49.231998;Curitiba;BR
BFI;KBFI;NA;47.529.999;'-122.302002;Seattle;US
BFK;KBKF;NA;39.701.698;'-104.751999;Aurora;US
BFL;KBFL;NA;35.433.601;'-119.056999;Bakersfield;US
BFM;KBFM;NA;30.626.800.537.100.000;'-88.06809997559999;Mobile;US
BFN;FABL;AF;'-29.092699;26.302.401;Bloemfontain;ZA
BFO;FVCZ;AF;'-21.008101;315.786;Chiredzi;ZW
BFP;KBVI;NA;40.772.499;'-80.391403;Beaver Falls;US
BFQ;;NA;758.737;'-78.179939;Puerto Piña;PA
BFR;KBFR;NA;3.884.000.015;'-86.44539642;Bedford;US
BFS;EGAA;EU;546.575.012.207;'-6.2158298492399995;Belfast;GB
BFT;KARW;NA;32.412.201;'-80.634399;Beaufort;US
BFV;VTUO;AS;152.295;103.252.998;Buriram;TH
BFW;DAOS;AF;351.717.987.061;'-0.593275010586;Sidi Bel Abbès;DZ
BFX;FKKU;AF;5.536.920.070.650.000;10.354.599.952.700.000;Bafoussam;CM
BGA;SKBG;SA;71.265;'-73.1848;Bucaramanga;CO
BGB;FOGB;AF;'-0.1075;119.438;Booue;GA
BGC;LPBG;EU;418.578;'-6.70713;Bragança;PT
BGD;KBGD;NA;35.700.901.031.499.900;'-101.393997192;Borger;US
BGE;KBGE;NA;309.715.004;'-84.63739777;Bainbridge;US
BGF;FEFF;AF;439.847.993.850.708;18.518.800.735.473.600;Bangui;CF
BGG;LTCU;AS;38.860.131;40.594.489;Bingöl;TR
BGH;GQNE;AF;1.663.331.413.269.040;'-14.200000762939453;Boghe;MR
BGI;TBPB;NA;130.746;'-59.4925;Bridgetown;BB
BGJ;BIBF;EU;65.516.769;'-13.81578;Borgarfjörður eystri;IS
BGK;;NA;16.519.369;'-88.407913;Big Creek;BZ
BGL;VNBL;AS;28.212.799;83.666.298;Baglung;NP
BGM;KBGM;NA;4.220.869.827;'-75.97979736;Binghamton;US
BGN;UESG;AS;68.556.227;14.622.784;Belaya Gora;RU
BGO;ENBR;EU;602.934;521.814;Bergen;NO
BGQ;PAGQ;NA;61.534.658;'-149.812936;Big Lake;US
BGR;KBGR;NA;448.074;'-68.828102;Bangor;US
BGS;;AS;58.380.615;97.472.336;Boguchany;RU
BGT;;NA;34.592.796;'-113.171993;Bagdad;US
BGU;FEFG;AF;4.784.999.847.412.100;227.810.001.373.291;Bangassou;CF
BGV;;SA;'-29.147424;'-51.540791;Bento Gonçalves;BR
BGW;ORBI;AS;33.262.501;442.346;Baghdad;IQ
BGX;SBBG;SA;'-31.390499;'-54.112202;Bagé;BR
BGY;LIME;EU;45.670.725;9.709.223;Orio al Serio (BG);IT
BHA;SESV;SA;'-0.608111;'-80.402702;Bahía de Caraquez;EC
BHB;KBHB;NA;4.445.000.076;'-68.3615036;Bar Harbor;US
BHC;;AS;3.396.099.853.515.620;734.520.034.790.039;Bhurban;PK
BHD;EGAC;EU;54.618.099;'-5.8725;Belfast;GB
BHE;NZWB;OC;'-41.5182991027832;1.738.699.951.171.870;Blenheim;NZ
BHF;SKCP;SA;6.694.817;'-77.493643;Bahía Solano;CO
BHG;;NA;157.631;'-84.543602;Brus Laguna;HN
BHH;OEBH;AS;199.844;42.620.899;Bisha;SA
BHI;SAZB;SA;'-38.725;'-62.1693;Bahía Blanca;AR
BHJ;VABJ;AS;232.877.998.352;696.701.965.332;Bhuj;IN
BHK;UTSB;AS;39.775.002;64.483.299;Bukhara;UZ
BHL;;NA;289.786;'-113.560997;Ensenada;MX
BHM;KBHM;NA;33.562.901;'-86.753502;Birmingham;US
BHN;OYBN;AS;14.781.714;45.719.703;Beihan;YE
BHO;VABP;AS;232.875.003.815;773.374.023.438;Bhopal;IN
BHP;VNBJ;AS;271.474;87.050.797;Bhojpur;NP
BHQ;YBHI;OC;'-32.0013999939;141.472.000.122;Broken Hill;AU
BHR;VNBP;AS;27.678.101;84.429.398;Bharatpur;NP
BHS;YBTH;OC;'-33.406817;149.651.161;Bathurst;AU
BHU;VABV;AS;21.752.199.173;721.852.035.522;Bhavnagar;IN
BHV;OPBW;AS;29.348.100.662.231.400;7.171.800.231.933.590;Bahawalpur;PK
BHW;;AS;32.056.098.938;7.294.840.240.479.990;Bhagatanwala;PK
BHX;EGBB;EU;52.453.899;'-1.74803;Birmingham, West Midlands;GB
BHY;ZGBH;AS;215.394;109.293.999;Beihai (Yinhai);CN
BIA;LFKB;EU;425.527;948.373;Bastia;FR
BIB;HCMB;AF;310.192;43.627.137;Baidoa;SO
BIC;;EU;47.325.256;'-3.201255;Bangor;FR
BID;KBID;NA;41.168.446;'-71.578631;Block Island;US
BIE;KBIE;NA;403.013;'-96.754097;Beatrice;US
BIF;KBIF;NA;3.184.950.066;'-106.3799973;Fort Bliss/El Paso;US
BIG;PABI;NA;639.944.992.065;'-145.722000122;Delta Junction Ft Greely;US
BIH;KBIH;NA;373.731;'-118.363998;Bishop;US
BII;;OC;115.225;165.565.002;Bikini Atoll;MH
BIK;WABB;AS;'-1.19002;136.108.002;Biak;ID
BIL;KBIL;NA;45.807.701;'-108.542999;Billings;US
BIM;MYBS;NA;256.998.996.735;'-79.2647018433;South Bimini;BS
BIN;OABN;AS;34.808.916;67.816.629;Bamyan;AF
BIO;LEBB;EU;43.301.102;'-2.91061;Bilbao;ES
BIP;;OC;'-16.8808002472;143.479.003.906;;AU
BIQ;LFBZ;EU;43.468.372;'-1.523223;Biarritz;FR
BIR;VNVT;AS;2.648.150.062.561.030;8.726.399.993.896.480;Biratnagar;NP
BIS;KBIS;NA;46.772.701.263.427.700;'-100.74600219726562;Bismarck;US
BIT;VNBT;AS;29.463.421;80.548.968;Baitadi;NP
BIU;BIBD;EU;65.641.296;'-23.5462;Bildudalur;IS
BIV;FEFR;AF;6.527.780.055.999.750;2.198.940.086.364.740;Bria;CF
BIW;;OC;'-19.566699981699998;127.666.999.817;;AU
BIX;KBIX;NA;304.104.003.906;'-88.92440032959999;Biloxi;US
BIY;FABE;AF;'-32.897099;272.791;Bisho;ZA
BJA;DAAE;AF;36.711.952;5.069.804;Béjaïa;DZ
BJB;OIMN;AS;3.749.300.003.051.750;5.730.820.083.618.160;Bojnord;IR
BJC;KBJC;NA;39.908.798;'-105.116997;Denver;US
BJD;BIBK;EU;6.602.189.636.230.460;'-14.824399948120117;Bakkafjörður;IS
BJF;ENBS;EU;7.060.025;29.692.612;Båtsfjord;NO
BJG;;AS;0.686111;124.273.611;Kota Mobagu;ID
BJH;VNBG;AS;29.539;81.185.402;Bajhang;NP
BJI;KBJI;NA;4.750.939.941;'-94.93370056;Bemidji;US
BJJ;KBJJ;NA;40.874.801.635.699.900;'-81.88829803470001;Wooster;US
BJK;WAPK;AS;'-6.06613;134.273.971;Maikoor Island;ID
BJL;GBYD;AF;13.338;'-16.652201;Yundum;GM
BJM;HBBA;AF;'-3.32402;29.318.501;Bujumbura;BI
BJO;SLBJ;SA;'-22.7733001709;'-64.31289672850001;Bermejo;BO
BJP;SBBP;SA;'-22.978822;'-46.537131;Bragança Paulista;BR
BJR;HABD;AF;116.081;37.321.602;Bahir Dar;ET
BJU;VNBR;AS;29.502.001;81.668.999;Bajura;NP
BJV;LTFE;AS;37.250.599;27.664.301;Bodrum;TR
BJW;;AS;'-8.70777;121.058.243;Soa, Ngada;ID
BJX;MMLO;NA;20.992.695;'-101.480284;Silao;MX
BJY;LYBT;EU;44.935.299;202.575;Zemun;RS
BJZ;LEBZ;EU;388.913;'-6.82133;Badajoz;ES
BKA;;AS;61.676.701;96.355.003;Baykit;RU
BKB;VIBK;AS;28.070.601;73.207.199;Bikaner;IN
BKC;PABL;NA;65.981.598;'-161.149002;Buckland;US
BKD;KBKD;NA;3.271.900.177;'-98.89099884030001;Breckenridge;US
BKE;KBKE;NA;44.837.299.346.900.000;'-117.808998108;Baker City;US
BKF;;NA;58.554.798;'-155.776993;Katmai National Park;US
BKG;KBBG;NA;36.532.082;'-93.200544;Branson;US
BKH;PHBK;OC;220.228;'-159.785004;Kekaha;US
BKI;WBKK;AS;5.932.743;116.049.324;Kota Kinabalu;MY
BKJ;GUOK;AF;109.658;'-14.2811;Boké;GN
BKK;VTBS;AS;13.681.099.891.662.500;10.074.700.164.794.900;Bangkok;TH
BKL;KBKL;NA;4.151.750.183.105.460;'-81.68329620361328;Cleveland;US
BKM;WBGQ;AS;3.974;115.617.996;Bakalalan;MY
BKN;;AS;39.480.598;54.366.001;Balkanabat;TM
BKO;GABS;AF;125.335;'-7.94994;Bamako;ML
BKP;YBAW;OC;'-20.4958333333;138.474.722.222;;AU
BKQ;YBCK;OC;'-24.431678;145.429.716;Blackall;AU
BKR;FTTK;AF;12.385.511;17.070.989;Bokoro;TD
BKS;WIGG;AS;'-3.8637;102.338.997;Bengkulu;ID
BKT;KBKT;NA;370.741.996.765;'-77.9574966431;Blackstone;US
BKU;FMSV;AF;'-23.732999801635742;44.388.999.938.964.800;Betioky;MG
BKW;KBKW;NA;377.873;'-81.124199;Beaver;US
BKX;KBKX;NA;44.304.798;'-96.816902;Brookings;US
BKY;FZMA;AF;'-2.30898;288.088;Kamakombe;CD
BKZ;HTBU;AF;'-1.332;318.212;Bukoba;TZ
BLA;SVBC;SA;10.111.111;'-64.692222;Barcelona;VE
BLB;;NA;891.479;'-79.599602;Panamá City;PA
BLD;;NA;35.947.161;'-114.858799;Boulder City;US
BLE;ESSD;EU;60.422.001;155.152;Borlange;SE
BLF;KBLF;NA;37.295.799;'-81.207703;Bluefield;US
BLG;WBGC;AS;2.652.143;113.767.043;Belaga;MY
BLH;KBLH;NA;336.192.016.602;'-114.717002869;Blythe;US
BLI;KBLI;NA;4.879.280.090.332.030;'-122.53800201416016;Bellingham;US
BLJ;DABT;AF;35.752.102;630.859;Batna;DZ
BLK;EGNH;EU;53.771.702;'-3.02861;Blackpool;GB
BLL;EKBI;EU;55.740.335;9.157.019;Billund;DK
BLM;KBLM;NA;4.018.690.109;'-74.12490082;Belmar/Farmingdale;US
BLN;YBLA;OC;'-36.551899;146.007.004;Benalla;AU
BLO;BIBL;EU;65.644.997;'-20.2875;Blönduós;IS
BLP;;SA;'-7.06056;'-76.582199;Bellavista;PE
BLQ;LIPE;EU;445.354;112.887;Bologna;IT
BLR;VOBL;AS;131.979;77.706.299;Bangalore;IN
BLS;YBLL;OC;'-28.051247;147.481.799;;AU
BLT;YBTR;OC;'-23.6031;148.807.007;;AU
BLU;KBLU;NA;392.750.015.259;'-120.709999084;Emigrant Gap;US
BLV;KBLV;NA;385.452;'-89.835197;Belleville;US
BLW;HCMN;AF;4.766.976;452.388;Beledweyne;SO
BLX;LIDB;EU;46.166.549;12.250.389;Belluno (BL);IT
BLY;EIBT;EU;542.228.012.085;'-10.0307998657;Belmullet;IE
BLZ;FWCL;AF;'-15.679100036621094;349.739.990.234.375;Blantyre;MW
BMA;ESSB;EU;59.354.400.634.765.600;17.941.699.981.689.400;Stockholm;SE
BMB;FZFU;AF;2.183.261;22.479.572;Bumba;CD
BMC;KBMC;NA;41.552.399;'-112.061996;Brigham City;US
BMD;FMML;AF;'-19.686701;44.541.901;Belo sur Tsiribihina;MG
BME;YBRM;OC;'-17.948789;122.227.407;Broome;AU
BMF;FEGM;AF;5.693.999.767.303.460;22.801.000.595.092.700;Bakouma;CF
BMG;KBMG;NA;39.145.999.908.447.200;'-86.61669921875;Bloomington;US
BMI;KBMI;NA;404.771;'-88.915901;Bloomington/Normal;US
BMJ;SYBR;SA;7.370.120.048.522.940;'-60.487998962402344;Baramita;GY
BMK;EDWR;EU;5.359.639;6.709.167;Borkum;DE
BML;KBML;NA;4.457.540.131;'-71.17590332;Berlin;US
BMM;FOOB;AF;207.564;114.932;Bitam;GA
BMN;ORBB;AS;37.098.801;43.266.602;Bamarni;IQ
BMO;VYBM;AS;2.427.044;972.476;Banmaw;MM
BMP;YBPI;OC;'-20.804633;149.279.931;;AU
BMQ;;AF;'-3.983363;39.730.982;Bamburi;KE
BMR;EDWZ;EU;5.372.485;7.373.257;Baltrum;DE
BMS;SSXH;SA;'-14.2554;'-41.817501;Brumado;BR
BMT;KBMT;NA;30.070.635;'-94.215746;Beaumont;US
BMU;WADB;AS;'-8.537184;118.685.002;Palibelo, Bima;ID
BMV;VVBM;AS;12.668.299.675;108.120.002.747;Buon Ma Thuot;VN
BMW;DATM;AF;213.778;0.92698;Bordj Badji Mokhtar;DZ
BMX;PABM;NA;59.362.274;'-155.260148;Big Mountain;US
BMY;NWWC;OC;'-19.720521;163.661.077;Waala;NC
BNA;KBNA;NA;361.245;'-86.6782;Nashville;US
BNB;FZGN;AF;'-0.286652;20.883.551;Boende;CD
BNC;FZNP;AF;0.575;294.739;Beni;CD
BND;OIKB;AS;27.218.299.865.722.600;5.637.779.998.779.290;Bandar Abbas;IR
BNE;YBBN;OC;'-27.384199142456055;15.311.700.439.453.100;Brisbane;AU
BNF;;NA;57.088.799;'-134.833146;Baranof;US
BNG;KBNG;NA;33.922.548;'-116.850672;Banning;US
BNI;DNBE;AF;6.316.979.885.101.310;55.995.001.792.907.700;Benin;NG
BNK;YBNA;OC;'-28.833236;153.561.471;Ballina;AU
BNL;KBNL;NA;3.325.780.106;'-81.38829803;Barnwell;US
BNN;ENBN;EU;65.461.098;122.175;Brønnøy;NO
BNO;KBNO;NA;43.590.463;'-118.955154;Burns;US
BNP;OPBN;AS;329.729;70.527.901;Bannu;PK
BNR;DFOB;AF;10.688.861;'-4.727726;Banfora;BF
BNS;SVBI;SA;8.615;'-70.214167;Barinas;VE
BNU;SSBL;SA;'-26.831661;'-49.093569;Blumenau;BR
BNW;KBNW;NA;42.049.599;'-93.847603;Boone;US
BNX;LQBK;EU;44.941.399;17.297.501;Mahovljani;BA
BOA;FZAJ;AF;'-5.854;13.064;Boma;CD
BOB;NTTB;OC;'-16.444400787353516;'-151.75100708007812;Motu Mute;PF
BOC;MPBO;NA;934.085;'-82.250801;Isla Colón;PA
BOD;LFBD;EU;4.482.865;'-0.715356;Bordeaux;FR
BOE;FCOB;AF;'-1.03104;15.336.009;Boundji;CG
BOG;SKBO;SA;470.159;'-74.1469;Bogota;CO
BOH;EGHH;EU;50.780.483;'-1.839576;Bournemouth;GB
BOI;KBOI;NA;435.644;'-116.223;Boise;US
BOJ;LBBG;EU;42.569.917;27.515.173;Burgas;BG
BOK;KBOK;NA;420.746;'-124.290001;Brookings;US
BOM;VABB;AS;190.886.993.408;728.678.970.337;Mumbai;IN
BON;TNCB;NA;12.131;'-68.268501;Kralendijk;BQ
BOO;ENBO;EU;67.269.203;143.653;Bodø;NO
BOP;FEFO;AF;5.958.000.183.105.460;1.563.700.008.392.330;Bouar;CF
BOS;KBOS;NA;4.236.197;'-71.0079;Boston;US
BOU;LFLD;EU;47.060.158;2.369.633;Bourges;FR
BOW;KBOW;NA;27.943.399;'-81.783401;Bartow;US
BOX;YBRL;OC;'-16.0753;136.302.002;;AU
BOY;DFOO;AF;11.160.099.983.215.300;'-4.33096981048584;Bobo Dioulasso;BF
BOZ;FEGZ;AF;6.344.170.093.536.370;163.218.994.140.625;Bozoum;CF
BPA;;AS;11.674.262;125.479.259;Borongan City;PH
